imdbid,sprache
tt1216487,English
tt1216487,French
tt1218336,English
tt1220619,English
tt1223933,German
tt12252958,N/A
tt1226236,Italian
tt1226236,Russian
tt1226236,English
tt1226240,English
tt1226276,English
tt12263866,Chinese
tt12298506,English
tt12299432,Chinese
tt12312004,Japanese
tt12312004,English
tt12312004,German
tt12312854,English
tt1231460,English
tt1231593,English
tt1232207,English
tt1232207,Russian
tt1232207,Spanish
tt12338128,English
tt1234719,English
tt1234719,Korean
tt1239450,English
tt12439466,Turkish
tt12439466,Spanish
tt12439466,Portuguese
tt1245091,English
tt1245526,English
tt1245526,Russian
tt12463560,Italian
tt1250757,Indonesian
tt1250757,Minangkabau
tt12536776,Spanish
tt12540080,Spanish
tt12588092,Japanese
tt1260567,English
tt12607910,English
tt12624928,English
tt12688688,English
tt1270761,English
tt1275863,Hindi
tt12851366,English
tt12851512,English
tt1286677,Turkish
tt12879624,Japanese
tt12879624,English
tt12879624,French
tt12879624,Spanish
tt12879624,Italian
tt12879624,German
tt12881516,German
tt1292042,English
tt12929990,English
tt12942958,English
tt1295071,English
tt13032762,Hindi
tt13068436,Japanese
tt13155222,English
tt1316554,English
tt1316554,Portuguese
tt1316554,Spanish
tt1316554,Korean
tt1316554,German
tt1316554,French
tt1316554,Japanese
tt1317476,English
tt1318056,English
tt1319636,English
tt1320304,English
tt13269536,English
tt13288904,English
tt1330018,English
tt1330018,Norwegian
tt1331318,Danish
tt13315324,English
tt13318942,English
tt1332028,English
tt1333125,English
tt13364468,Hindi
tt13372884,English
tt1339302,Japanese
tt13405778,English
tt13411782,English
tt13430858,English
tt13430858,Urdu
tt13430858,Arabic
tt1343097,Swedish
tt13444014,English
tt1345836,English
tt1345836,Arabic
tt13492434,English
tt13497984,English
tt1353145,French
tt1355683,English
tt1358603,N/A
tt13606318,English
tt13660638,Hebrew
tt1369845,English
tt1369845,Russian
tt13729062,Hindi
tt1375598,English
tt1379161,English
tt1380224,Spanish
tt1381055,English
tt13819562,German
tt1382246,English
tt13846542,Polish
tt1385543,English
tt13885280,English
tt13886338,English
tt1391579,English
tt13918550,English
tt13938338,Portuguese
tt13938338,English
tt1399053,German
tt1399053,English
tt1399103,English
tt1399103,Russian
tt1399952,Russian
tt14014068,English
tt1401643,French
tt1401643,Afrikaans
tt1401643,English
tt1401643,Dutch
tt1403214,German
tt1403214,English
tt1403214,Swahili
tt1407050,English
tt1407050,French
tt1409024,English
tt1409024,Ukrainian
tt14107778,English
tt14118188,English
tt14118188,Spanish
tt1414111,English
tt14157332,English
tt14173880,English
tt14184932,English
tt1418712,English
tt1422020,English
tt1422020,Spanish
tt1422674,Japanese
tt1422800,English
tt1425922,English
tt1429449,English
tt14298328,English
tt1430077,English
tt1430144,English
tt14344690,English
tt14365434,Bengali
tt1436559,English
tt1441105,English
tt14423802,English
tt14464962,English
tt1447981,Zulu
tt1447981,English
tt14486678,Turkish
tt14516188,English
tt14516188,Russian
tt14535168,English
tt1454523,Catalan
tt1454523,Spanish
tt14586350,English
tt1459012,French
tt1459012,English
tt1459012,Japanese
tt1462041,English
tt1463208,German
tt1463208,Mandarin
tt1463208,English
tt1467280,Japanese
tt1468727,English
tt14703382,Arabic
tt1471156,English
tt1479269,French
tt14852420,Bengali
tt1485698,Polish
tt1486185,English
tt1487118,English
tt1487118,German
tt1490017,English
tt1490017,Turkish
tt14948432,English
tt14966898,English
tt15004156,English
tt15017118,English
tt15017118,Navajo
tt15048108,Mandarin
tt1507563,English
tt15095160,Russian
tt15096796,German
tt15096796,English
tt15109082,Irish Gaelic
tt15109082,English
tt15109082,Gaelic
tt15132930,Spanish
tt1513713,Turkish
tt1513713,Sign
tt15140592,Korean
tt1515091,English
tt1515091,French
tt1515091,Italian
tt1515091,German
tt1515091,Romany
tt15176202,English
tt15185242,English
tt15204842,English
tt15239678,English
tt15239868,English
tt15289042,Japanese
tt1529720,Flemish
tt1529720,Dutch
tt1532577,English
tt15331462,English
tt15340724,Korean
tt1534085,English
tt1541874,English
tt15424742,Swedish
tt15463032,English
tt15464988,English
tt15475330,English
tt15497220,English
tt15521050,English
tt15521050,Italian
tt15553956,Korean
tt15560132,English
tt15567174,English
tt15582924,Japanese
tt15599258,English
tt1568346,English
tt1568346,Swedish
tt1569364,Russian
tt1569923,English
tt1570728,English
tt15787870,Spanish
tt15816392,Malayalam
